tmp:
['교과전형', '자연과학대학', '지구시스템과학부', '대한민국', '경북여자상업고등학교', 2016, 2.76, 0, 0, 0, '불합격']
['교과전형', '자연과학대학', '지구시스템과학부', '대한민국', '동명고등학교', 2016, 2.76, 0, 0, 0, '불합격']
['교과전형', '자연과학대학', '지구시스템과학부', '대한민국', '고명경영고등학교', 2015, 2.76, 0, 0, 0, '불합격']
['교과전형', '자연과학대학', '지구시스템과학부', '대한민국', '성남금융고등학교', 2017, 2.76, 0, 0, 0, '불합격']
['교과전형', '자연과학대학', '지구시스템과학부', '대한민국', '고양고등학교', 2015, 2.76, 0, 0, 0, '불합격']
['교과전형', '자연과학대학', '지구시스템과학부', '대한민국', '유한공업고등학교', 2016, 2.76, 0, 0, 0, '불합격']
['교과전형', '자연과학대학', '지구시스템과학부', '대한민국', '서울관광고등학교', 2017, 2.76, 0, 0, 0, '불합격']
['교과전형', '자연과학대학', '지구시스템과학부', '대한민국', '매향여자정보고등학교', 2011, 2.76, 0, 0, 0, '불합격']
['교과전형', '자연과학대학', '지구시스템과학부', '이탈리아', '외국고등학교', 2017, 2.76, 0, 0, 0, '불합격']
['교과전형', '자연과학대학', '지구시스템과학부', '대한민국', '알로이시오전자기계고등학교', 2010, 2.76, 0, 0, 0, '불합격']
['교과전형', '자연과학대학', '지구시스템과학부', '대한민국', '부산산업과학고등학교', 2014, 2.76, 0, 0, 0, '불합격']
['교과전형', '자연과학대학', '지구시스템과학부', '대한민국', '세경고등학교', 2014, 2.76, 0, 0, 0, '불합격']
['교과전형', '자연과학대학', '지구시스템과학부', '대한민국', '경북기계공업고등학교', 2011, 2.76, 0, 0, 0, '불합격']
['교과전형', '자연과학대학', '지구시스템과학부', '대한민국', '서울영상고등학교', 2011, 2.76, 0, 0, 0, '불합격']
['교과전형', '자연과학대학', '지구시스템과학부', '대한민국', '서울문화고등학교', 2013, 2.76, 0, 0, 0, '불합격']
['교과전형', '자연과학대학', '지구시스템과학부', '대한민국', '광명경영회계고등학교', 2015, 2.76, 0, 0, 0, '불합격']
['교과전형', '자연과학대학', '지구시스템과학부', '대한민국', '동일미래과학고등학교', 2012, 2.76, 0, 0, 0, '불합격']
['교과전형', '자연과학대학', '지구시스템과학부', '대한민국', '부산관광고등학교', 2015, 2.76, 0, 0, 0, '불합격']
['교과전형', '자연과학대학', '지구시스템과학부', '대한민국', '세종여자고등학교', 2015, 2.76, 0, 0, 0, '불합격']
['교과전형', '자연과학대학', '지구시스템과학부', '대한민국', '송원여자상업고등학교', 2013, 2.76, 0, 0, 0, '불합격']
['교과전형', '자연과학대학', '지구시스템과학부', '대한민국', '수원농생명과학고등학교', 2012, 2.76, 0, 0, 0, '불합격']
['교과전형', '자연과학대학', '지구시스템과학부', '대한민국', '한강미디어고등학교', 2016, 2.76, 0, 0, 0, '불합격']
['교과전형', '자연과학대학', '지구시스템과학부', '미국', '외국고등학교', 2015, 2.76, 0, 0, 0, '불합격']
['교과전형', '자연과학대학', '지구시스템과학부', '대한민국', '대전공업고등학교', 2015, 2.76, 0, 0, 0, '불합격']
['교과전형', '자연과학대학', '지구시스템과학부', '대한민국', '울산기술공업고등학교', 2016, 2.76, 0, 0, 0, '불합격']
['교과전형', '자연과학대학', '지구시스템과학부', '대한민국', '선일이비즈니스고등학교', 2012, 2.76, 0, 0, 0, '불합격']
['교과전형', '자연과학대학', '지구시스템과학부', '대한민국', '다산고등학교', 2016, 2.76, 0, 0, 0, '불합격']
['교과전형', '자연과학대학', '지구시스템과학부', '대한민국', '부산문화여자고등학교', 2013, 2.76, 0, 0, 0, '불합격']
['교과전형', '자연과학대학', '지구시스템과학부', '대한민국', '숭의고등학교', 2017, 2.76, 0, 0, 0, '불합격']
['교과전형', '자연과학대학', '지구시스템과학부', '대한민국', '부산전자공업고등학교', 2015, 2.76, 0, 0, 0, '불합격']
['교과전형', '자연과학대학', '지구시스템과학부', '대한민국', '부산진여자상업고등학교', 2015, 2.76, 0, 0, 0, '불합격']
['교과전형', '자연과학대학', '지구시스템과학부', '대한민국', '산본공업고등학교', 2016, 2.76, 0, 0, 0, '불합격']
['교과전형', '자연과학대학', '지구시스템과학부', '대한민국', '대전전자디자인고등학교', 2015, 2.76, 0, 0, 0, '불합격']
['교과전형', '자연과학대학', '지구시스템과학부', '대한민국', '염광여자메디텍고등학교', 2015, 2.76, 0, 0, 0, '불합격']
['교과전형', '자연과학대학', '지구시스템과학부', '대한민국', '부산전자공업고등학교', 2017, 2.76, 0, 0, 0, '불합격']
['교과전형', '자연과학대학', '지구시스템과학부', '대한민국', '문산수억고등학교', 2010, 2.76, 0, 0, 0, '불합격']
['교과전형', '자연과학대학', '지구시스템과학부', '중국', '외국고등학교', 2012, 2.76, 0, 0, 0, '불합격']
['교과전형', '자연과학대학', '지구시스템과학부', '대한민국', '금곡고등학교', 2016, 2.76, 0, 0, 0, '불합격']
['교과전형', '자연과학대학', '지구시스템과학부', '대만', '외국고등학교', 2013, 2.76, 0, 0, 0, '불합격']
['교과전형', '자연과학대학', '지구시스템과학부', '대한민국', '서울공업고등학교', 2015, 2.76, 0, 0, 0, '불합격']
['교과전형', '자연과학대학', '지구시스템과학부', '대한민국', '동래원예고등학교', 2013, 2.76, 0, 0, 0, '불합격']
['교과전형', '자연과학대학', '지구시스템과학부', '대한민국', '경민비즈니스고등학교', 2015, 2.76, 0, 0, 0, '불합격']
['교과전형', '자연과학대학', '지구시스템과학부', '미국', '외국고등학교', 2017, 2.76, 0, 0, 0, '불합격']
['교과전형', '자연과학대학', '지구시스템과학부', '대한민국', '이화여자대학교병설미디어고등학교', 2012, 2.76, 0, 0, 0, '불합격']
['교과전형', '자연과학대학', '지구시스템과학부', '대한민국', '삼일상업고등학교', 2010, 2.76, 0, 0, 0, '불합격']
['교과전형', '자연과학대학', '지구시스템과학부', '대한민국', '휘경공업고등학교', 2016, 2.76, 0, 0, 0, '불합격']
['교과전형', '자연과학대학', '지구시스템과학부', '대한민국', '선일이비즈니스고등학교', 2012, 2.76, 0, 0, 0, '불합격']
['교과전형', '자연과학대학', '지구시스템과학부', '대한민국', '성보경영고등학교', 2017, 2.76, 0, 0, 0, '불합격']
['교과전형', '자연과학대학', '지구시스템과학부', '대한민국', '부산항만물류고등학교', 2016, 2.76, 0, 0, 0, '불합격']
