Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,ISSN,ISBN,CODEN,Document Type,Publication Stage,Access Type,Source,EID
"Akindehin S., Jung Y.-S., Kim S.-N., Son Y.-H., Lee I., Seong J.K., Jeong H.W., Lee Y.-H.","57194768832;56428348300;57093643700;57195291202;7404442049;57204330492;57203376604;55176839300;","Myricetin exerts anti-obesity effects through upregulation of SIRT3 in adipose tissue",2018,"Nutrients","10","12", 1962,"","",,1,"10.3390/nu10121962","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85058757455&doi=10.3390%2fnu10121962&partnerID=40&md5=d3f614d9ce0404eac4a0d420acca1c12",20726643,,,Article,"Final",Open Access,Scopus,2-s2.0-85058757455
"DiNezio P.N., Tierney J.E., Otto-Bliesner B.L., Timmermann A., Bhattacharya T., Rosenbloom N., Brady E.","26767712900;22235860400;6701853567;57203199846;28067509800;6508089485;26643043700;","Glacial changes in tropical climate amplified by the Indian Ocean",2018,"Science Advances","4","12", eaat9658,"","",,3,"10.1126/sciadv.aat9658","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85058757827&doi=10.1126%2fsciadv.aat9658&partnerID=40&md5=62ac3d11bef1fec10f781039f1672738",23752548,,,Article,"Final",Open Access,Scopus,2-s2.0-85058757827
"Lehtipalo K., Yan C., Dada L., Bianchi F., Xiao M., Wagner R., Stolzenburg D., Ahonen L.R., Amorim A., Baccarini A., Bauer P.S., Baumgartner B., Bergen A., Bernhammer A.-K., Breitenlechner M., Brilke S., Buchholz A., Mazon S.B., Chen D., Chen X., Dias A., Dommen J., Draper D.C., Duplissy J., Ehn M., Finkenzeller H., Fischer L., Frege C., Fuchs C., Garmash O., Gordon H., Hakala J., He X., Heikkinen L., Heinritzi M., Helm J.C., Hofbauer V., Hoyle C.R., Jokinen T., Kangasluoma J., Kerminen V.-M., Kim C., Kirkby J., Kontkanen J., Kürten A., Lawler M.J., Mai H., Mathot S., Mauldin R.L., Molteni U., Nichman L., Nie W., Nieminen T., Ojdanic A., Onnela A., Passananti M., Petäjä T., Piel F., Pospisilova V., Quéléver L.L.J., Rissanen M.P., Rose C., Sarnela N., Schallhart S., Schuchmann S., Sengupta K., Simon M., Sipilä M., Tauber C., Tomé A., Tröstl J., Väisänen O., Vogel A.L., Volkamer R., Wagner A.C., Wang M., Weitz L., Wimmer D., Ye P., Ylisirniö A., Zha Q., Carslaw K.S., Curtius J., Donahue N.M., Flagan R.C., Hansel A., Riipinen I., Virtanen A., Winkler P.M., Baltensperger U., Kulmala M., Worsnop D.R.","23967608200;57118689500;55866510700;50661126500;57200123632;57141453800;57194159767;57190259745;57202594580;57203815874;57189322015;57190385327;57191570035;55337100800;38561063500;57189469939;57193537889;56614351700;57203817919;57189333618;57118922800;6603825422;55843514600;15724763500;17433787100;57203815944;55874478000;57119879100;57118985600;55932424000;7201394374;57206535282;57195636522;56732727200;55683894300;57203813806;57190178933;17434636400;55210952000;55050433500;26643041500;57203816812;35227521600;55603297400;23967720800;57203048094;56895727100;55879178900;57209337154;50761093900;57119983700;8438057200;8336962200;57200118750;15756452000;39161655400;8871497700;57189464485;55826137300;57200117213;8646255500;55682751100;55227305000;30567685500;25926065300;55871853200;55683040000;6701853225;57203819499;8620967300;49864663100;56862095200;55886060400;57206166579;56533017800;56525500300;57203819629;47961527900;55683495700;56592923300;55973731600;7004469744;7003323678;57205844482;7006572336;7007155334;9235235300;7006599647;10640192200;7005069415;35461255500;7006593624;","Multicomponent new particle formation from sulfuric acid, ammonia, and biogenic vapors",2018,"Science Advances","4","12", eaau5363,"","",,9,"10.1126/sciadv.aau5363","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85058725307&doi=10.1126%2fsciadv.aau5363&partnerID=40&md5=1dcca4250a8e8a7929e7cafbd2563f25",23752548,,,Article,"Final",Open Access,Scopus,2-s2.0-85058725307
"Kamran M.A., Naeem Mannan M.M., Jeong M.-Y.","57198223518;57131081600;7102344090;","Initial-dip existence and estimation in relation to DPF and data drift",2018,"Frontiers in Neuroinformatics","12",, 96,"","",,,"10.3389/fninf.2018.00096","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85059000711&doi=10.3389%2ffninf.2018.00096&partnerID=40&md5=7b20b3c6963e76813d0cf44b7abfa6c6",16625196,,,Article,"Final",Open Access,Scopus,2-s2.0-85059000711
"Bae E.-B., Yoo J.-H., Jeong S.-I., Kim M.-S., Lim Y.-M., Ahn J.-J., Lee J.-J., Lee S.-H., Kim H.-J., Huh J.-B.","57190943615;57203987321;7402425031;55839588400;8666915500;57204975220;57195318670;56104490500;36012331400;8424312600;","Effect of titanium implants coated with radiation- crosslinked collagen on stability and osseointegration in Rat Tibia",2018,"Materials","10","12", 2520,"","",,1,"10.3390/ma11122520","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85058210219&doi=10.3390%2fma11122520&partnerID=40&md5=4ba4e72fa42d9a845deefd993c74e9e8",19961944,,,Article,"Final",Open Access,Scopus,2-s2.0-85058210219
"Jeon T.J., Hwang T., Yun H.J., VanTyne C.J., Moon Y.H.","57204979054;56740001900;57204424245;6506366553;13005372400;","Control of porosity in parts produced by a direct laser melting process",2018,"Applied Sciences (Switzerland)","8","12", 2573,"","",,2,"10.3390/app8122573","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85058219423&doi=10.3390%2fapp8122573&partnerID=40&md5=b2c31d64a99d6dc7bb0bcc93c9efa3f8",20763417,,,Article,"Final",Open Access,Scopus,2-s2.0-85058219423
"Son J.-M., Eum J.-H., Kim D.-P., Kwon J.","57204964199;55322972500;56109773200;57204970265;","Management strategies of thermal environment in urban area using the cooling function of the mountains: A case study of the Honam Jeongmaek areas in South Korea",2018,"Sustainability (Switzerland)","10","12", 4691,"","",,,"10.3390/su10124691","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85058149827&doi=10.3390%2fsu10124691&partnerID=40&md5=593d48f15bc8b15b1a87d0b09e1bd8aa",20711050,,,Article,"Final",Open Access,Scopus,2-s2.0-85058149827
"Cho S., Kim S., Kim W., Kim S., Ahn S.","57204971915;57204971011;34770557300;36008533700;36028013900;","All-solid-state lithium batteryworking without an additional separator in a polymeric electrolyte",2018,"Polymers","10","12", 1364,"","",,1,"10.3390/polym10121364","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85058194942&doi=10.3390%2fpolym10121364&partnerID=40&md5=5477e714090221fcdf81459902588efe",20734360,,,Article,"Final",Open Access,Scopus,2-s2.0-85058194942
"Nguyen H.-D., Yoo S.-H., Bhutta M.R., Hong K.-S.","56937545500;57201364440;55607020900;7402515710;","Adaptive filtering of physiological noises in fNIRS data",2018,"BioMedical Engineering Online","17","1", 180,"","",,1,"10.1186/s12938-018-0613-2","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85057763745&doi=10.1186%2fs12938-018-0613-2&partnerID=40&md5=2e0b0341127496f55c8da40117708a24",1475925X,,BEOIB,Article,"Final",Open Access,Scopus,2-s2.0-85057763745
"Kim M.E., Jung I., Na J.Y., Lee Y., Lee J., Lee J.S., Lee J.S.","55602969100;57193901147;57198431476;55556482900;56377510700;57203144408;57196141187;","Pseudane-VII regulates LPS-induced neuroinflammation in brain microglia cells through the inhibition of iNOS expression",2018,"Molecules","23","12", 3196,"","",,,"10.3390/molecules23123196","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85057629990&doi=10.3390%2fmolecules23123196&partnerID=40&md5=3ea680965702657a56612791e51a34f7",14203049,,MOLEF,Article,"Final",Open Access,Scopus,2-s2.0-85057629990
"Sohn H.M., Baik J.S., Hwang J.Y., Kim S.Y., Han S.H., Kim J.H.","57020840700;26029761100;57198540449;7006759197;8683690900;56177317600;","Devising negative pressure within intercuff space reduces microaspiration",2018,"BMC Anesthesiology","18","1", 181,"","",,,"10.1186/s12871-018-0643-0","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85057624449&doi=10.1186%2fs12871-018-0643-0&partnerID=40&md5=48b49962e0891f22ca8627565f413d99",14712253,,BAMNB,Article,"Final",Open Access,Scopus,2-s2.0-85057624449
"Lee J.H., Kang J., Kim S.-W., Halim W., Frey M.W., Joo Y.L.","50761132800;55340682600;57204899987;57196455327;7201869227;7102315465;","Effective Suppression of the Polysulfide Shuttle Effect in Lithium-Sulfur Batteries by Implementing rGO-PEDOT:PSS-Coated Separators via Air-Controlled Electrospray",2018,"ACS Omega","3","12",,"16465","16471",,1,"10.1021/acsomega.8b02551","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85057723171&doi=10.1021%2facsomega.8b02551&partnerID=40&md5=32db30749a9a3f97218c090fee728292",24701343,,,Article,"Final",Open Access,Scopus,2-s2.0-85057723171
"Hwang M., Chung W.","57204914319;16635332200;","Effects of a carbon nanotube additive on the corrosion-resistance and heat-dissipation properties of plasma electrolytic oxidation on AZ31 magnesium alloy",2018,"Materials","11","12", 2438,"","",,,"10.3390/ma11122438","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85057826965&doi=10.3390%2fma11122438&partnerID=40&md5=ff1f4d0aa45d441caf9ed3243010912b",19961944,,,Article,"Final",Open Access,Scopus,2-s2.0-85057826965
"Bae M.H., Jang H.J., Lee N.R., Han Y.M., Byun S.Y., Park K.H.","56785313100;57200910976;57192204634;51061211900;36665730100;57020246400;","The clinical characteristics and neurodevelopmental outcome of preterm infants with persistent periventricular echogenicity",2018,"Pediatrics and Neonatology","59","6",,"606","610",,1,"10.1016/j.pedneo.2018.02.006","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85042623968&doi=10.1016%2fj.pedneo.2018.02.006&partnerID=40&md5=3ba0231c5803a82708e74d534128597d",18759572,,,Article,"Final",Open Access,Scopus,2-s2.0-85042623968
"Kwak M.J.","56870888000;","Clinical genetics of defects in thyroid hormone synthesis",2018,"Annals of Pediatric Endocrinology and Metabolism","23","4",,"169","175",,1,"10.6065/apem.2018.23.4.169","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85064080798&doi=10.6065%2fapem.2018.23.4.169&partnerID=40&md5=615e3550994203874a8111585a3e5358",22871012,,,Review,"Final",Open Access,Scopus,2-s2.0-85064080798
"Sung S., Kim J., Jung Y.","57204452421;55850180200;16238452900;","Liver-derived exosomes and their implications in liver pathobiology",2018,"International Journal of Molecular Sciences","19","12", 3715,"","",,,"10.3390/ijms19123715","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85057130687&doi=10.3390%2fijms19123715&partnerID=40&md5=d48d7d44e93fc85d6195e7f3550557cf",16616596,,,Review,"Final",Open Access,Scopus,2-s2.0-85057130687
"Yang M.-Y., Park S.-M., Lee H.-J., Jin H., You H.-S., Shim W.-H., Kim H.-S., Ko H.-C., Kim M.-B., Kim B.-S., Kim G.-W.","57190092080;56097226800;57208526112;56104420200;55551910400;42062202600;57206211956;57202265435;7406088339;55726523900;35336986000;","Darier's disease appearing as pityriasis amiantacea",2018,"Annals of Dermatology","30","6",,"729","730",,,"10.5021/ad.2018.30.6.729","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85055890626&doi=10.5021%2fad.2018.30.6.729&partnerID=40&md5=37c830bce51b6f31143c9de67c7c83bd",10139087,,ANDEE,Note,"Final",Open Access,Scopus,2-s2.0-85055890626
"Song S.M., Kang S.A., Park H.K., Kim D.H., Park S.Y., Jang S.B., Yu H.S.","57205247454;26638218700;55713701100;57203012600;57190672269;7402219019;7405854861;","Acanthamoeba profilin elicits allergic airway inflammation in mice",2018,"PLoS Neglected Tropical Diseases","12","12", e0006979,"","",,,"10.1371/journal.pntd.0006979","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85059255980&doi=10.1371%2fjournal.pntd.0006979&partnerID=40&md5=76ecb3cdbca0c591983f3b29de4e4b69",19352727,,,Article,"Final",Open Access,Scopus,2-s2.0-85059255980
"Yoon J.-U., Byeon G.-J., Park J.Y., Yoon S.H., Ryu J.-H., Ri H.-S.","37032358800;36125951700;55199457000;56472151500;35178640500;42462457900;","Bloodless living donor liver transplantation Risk factors, outcomes, and diagnostic predictors",2018,"Medicine (United States)","97","50", e13581,"","",,,"10.1097/MD.0000000000013581","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85058742154&doi=10.1097%2fMD.0000000000013581&partnerID=40&md5=99cc065ac4fdfe06fa3fdcb9745b8546",00257974,,MEDIA,Article,"Final",Open Access,Scopus,2-s2.0-85058742154
"Lee M.J., Park J.Y.","56142341700;35230672600;","Energy decay of solutions of nonlinear viscoelastic problem with the dynamic and acoustic boundary conditions",2018,"Boundary Value Problems","2018","1", 1,"","",,,"10.1186/s13661-017-0918-2","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85040050214&doi=10.1186%2fs13661-017-0918-2&partnerID=40&md5=581a0241af126e39e3b98e09b76b3baf",16872762,,,Article,"Final",Open Access,Scopus,2-s2.0-85040050214
"Lee D., Baik J., Yun G., Kim E.","55981553800;26029761100;57204013129;57202989732;","Oxygen insufflation via working channel in a fiberscope is a useful method: A case report and review of literature",2018,"World Journal of Clinical Cases","6","16",,"1189","1193",,,"10.12998/wjcc.v6.i16.1189","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85059122240&doi=10.12998%2fwjcc.v6.i16.1189&partnerID=40&md5=696132427921e9beae2bf168423a4e8d",23078960,,,Article,"Final",Open Access,Scopus,2-s2.0-85059122240
"Anil Kumar Y., Kim H.-J.","57195596884;57191720417;","Effect of time on a hierarchical corn skeleton-like composite of CoO@ZnO as capacitive electrode material for high specific performance supercapacitors",2018,"Energies","11","12", 3285,"","",,5,"10.3390/en11123285","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85059337767&doi=10.3390%2fen11123285&partnerID=40&md5=311de86e672c74b1af37612ea9b73670",19961073,,,Article,"Final",Open Access,Scopus,2-s2.0-85059337767
"Kim H., Jeon K., Lim H., Song J.","56716937700;57205217976;7403094883;7404787086;","Parameter analysis of an entrained flow gasification process",2018,"Advances in Mechanical Engineering","10","12",,"","",,,"10.1177/1687814018815255","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85059191289&doi=10.1177%2f1687814018815255&partnerID=40&md5=4d78cb8c06a03cb36099119ee4c7b5c9",16878132,,,Article,"Final",Open Access,Scopus,2-s2.0-85059191289
"Byon J., Park S., Ahn S.","57203263145;57193797481;26429130800;","Derivation of preliminary derived concentration guideline levels for surface soil at Kori Unit 1 by RESRAD probabilistic analysis",2018,"Nuclear Engineering and Technology","50","8",,"1289","1297",,1,"10.1016/j.net.2018.07.018","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85051057478&doi=10.1016%2fj.net.2018.07.018&partnerID=40&md5=d8a1486c67c5df5390613652b04c9557",17385733,,,Article,"Final",Open Access,Scopus,2-s2.0-85051057478
"Jeon J.J., Eom I.K.","57169476100;55663326300;","Wavelet-based color modification detection based on variance ratio",2018,"Eurasip Journal on Image and Video Processing","2018","1", 47,"","",,1,"10.1186/s13640-018-0286-6","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85048575987&doi=10.1186%2fs13640-018-0286-6&partnerID=40&md5=1657e9ea3e1251209e84bf799a57307e",16875176,,,Article,"Final",Open Access,Scopus,2-s2.0-85048575987
"Kim Y.R., Ahn S.M., Pak M.E., Lee H.J., Jung D.H., Shin Y.-I., Shin H.K., Choi B.T.","57169120400;56699226400;57076088800;57197830702;57197825368;55890990500;7404012679;7402753618;","Potential benefits of mesenchymal stem cells and electroacupuncture on the trophic factors associated with neurogenesis in mice with ischemic stroke",2018,"Scientific Reports","8","1", 2044,"","",,2,"10.1038/s41598-018-20481-3","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85041586334&doi=10.1038%2fs41598-018-20481-3&partnerID=40&md5=8e734eb5fab8414295c240e028e450fd",20452322,,,Article,"Final",Open Access,Scopus,2-s2.0-85041586334
"Youn M.S., Shin J.K., Goh T.S., Son S.M., Lee J.S.","56311914300;37019224000;37072317800;57197328324;56590371000;","Endoscopic posterior decompression under local anesthesia for degenerative lumbar spinal stenosis",2018,"Journal of Neurosurgery: Spine","29","6",,"661","666",,,"10.3171/2018.5.SPINE171337","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85058811934&doi=10.3171%2f2018.5.SPINE171337&partnerID=40&md5=b52bd8254b13b8d8fdebfca92a2622ac",15475654,,,Article,"Final",Open Access,Scopus,2-s2.0-85058811934
"Nguyen L.V., Seok H.-Y., Woo D.-H., Lee S.-Y., Moon Y.-H.","57191617012;24765420300;37099231700;36064491000;7203054912;","Overexpression of the DEAD-Box RNA helicase gene AtRH17 confers tolerance to salt stress in arabidopsis",2018,"International Journal of Molecular Sciences","19","12", 3777,"","",,,"10.3390/ijms19123777","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85057526725&doi=10.3390%2fijms19123777&partnerID=40&md5=f6e9f17c251fd015cc1351a18ffd5d77",16616596,,,Article,"Final",Open Access,Scopus,2-s2.0-85057526725
"Park J., Jeong T., Moon H.S.","57022410500;55154958000;7402662469;","Temporal intensity correlation of bunched light from a warm atomic vapor with a ladder-type two-photon transition",2018,"Scientific Reports","8","1", 10981,"","",,1,"10.1038/s41598-018-29340-7","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85050568837&doi=10.1038%2fs41598-018-29340-7&partnerID=40&md5=9c5caff72eab51e8f5aed4aaddb5f42f",20452322,,,Article,"Final",Open Access,Scopus,2-s2.0-85050568837
"Kim D.-S., Han S.H., Park J.H., Lim H.-G., Kim J.H.","57201849568;35199840300;54402165900;8227724700;57201279884;","Multi-unit Level 1 probabilistic safety assessment: Approaches and their application to a six-unit nuclear power plant site",2018,"Nuclear Engineering and Technology","50","8",,"1217","1233",,10,"10.1016/j.net.2018.01.006","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85044147177&doi=10.1016%2fj.net.2018.01.006&partnerID=40&md5=b9c410cbda85b339441c18afec3564bb",17385733,,,Article,"Final",Open Access,Scopus,2-s2.0-85044147177
"Kim E., Nam J., Chang W., Zulfugarov I.S., Okhlopkova Z.M., Olennikov D., Chirikova N.K., Kim S.-W.","57207014402;56479910400;12797539700;8578843700;55943564400;6506525133;24075586100;56372621000;","Angelica gigas Nakai and Decursin Downregulate Myc Expression to Promote Cell Death in B-cell Lymphoma",2018,"Scientific Reports","8","1", 10590,"","",,4,"10.1038/s41598-018-28619-z","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85049907720&doi=10.1038%2fs41598-018-28619-z&partnerID=40&md5=529a2363411f15f0bbc870ba818e4c51",20452322,,,Article,"Final",Open Access,Scopus,2-s2.0-85049907720
"Kim K.-H., Lee M.J., Ko M.K., Lee E.Y., Yi J.","23135112800;55520467500;57192811977;20734776700;8627438900;","Severe Fever with Thrombocytopenia Syndrome Patients with Hemophagocytic Lymphohistiocytosis Retrospectively Identified in Korea, 2008-2013",2018,"Journal of Korean Medical Science","33","50", e319,"","",,,"10.3346/jkms.2018.33.e319","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85058194151&doi=10.3346%2fjkms.2018.33.e319&partnerID=40&md5=6e0e3b7f66a6bb8ec7b4440a771841d2",10118934,,JKMSE,Article,"Final",Open Access,Scopus,2-s2.0-85058194151
"Kim S., Kim D., Byeon J., Lim J., Song J., Park S., Park C., Song P.","57189497932;57209820291;57192702722;13404412700;36905767000;37057841800;9337609900;55800733100;","Transparent amorphous oxide semiconductor as excellent thermoelectric materials",2018,"Coatings","8","12", 462,"","",,,"10.3390/COATINGS8120462","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85069779602&doi=10.3390%2fCOATINGS8120462&partnerID=40&md5=bd26c51195685b2d7af42df352c6ea43",20796412,,,Article,"Final",Open Access,Scopus,2-s2.0-85069779602
"Nam S.B., Kim K., Kim B.S., Im H.-J., Lee S.H., Kim S.-J., Kim I.J., Pak K.","57206399230;36523010700;57129228300;35763744700;57203597268;56109068300;36044896200;57205322788;","The Effect of Obesity on the Availabilities of Dopamine and Serotonin Transporters",2018,"Scientific Reports","8","1", 4924,"","",,1,"10.1038/s41598-018-22814-8","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85044399596&doi=10.1038%2fs41598-018-22814-8&partnerID=40&md5=3a52c1394b69d3fd04dab2cc82d6bd03",20452322,,,Article,"Final",Open Access,Scopus,2-s2.0-85044399596
"Ha K.-J., Seo Y.-W., Lee J.-Y., Kripalani R.H., Yun K.-S.","8839231800;55836797000;55029613600;7004351721;24831179300;","Linkages between the South and East Asian summer monsoons: a review and revisit",2018,"Climate Dynamics","51","11-12",,"4207","4227",,8,"10.1007/s00382-017-3773-z","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85021796173&doi=10.1007%2fs00382-017-3773-z&partnerID=40&md5=0a80125cf7884df27065adbac4837367",09307575,,,Article,"Final",Open Access,Scopus,2-s2.0-85021796173
