Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,ISSN,ISBN,CODEN,Document Type,Publication Stage,Access Type,Source,EID
"Kim S.-R., Jo W.-K.","57210136569;7103322277;","Boosted photocatalytic decomposition of nocuous organic gases over tricomposites of N-doped carbon quantum dots, ZnFe2O4, and BiOBr with different junctions",2019,"Journal of Hazardous Materials","380",, 120866,"","",,,"10.1016/j.jhazmat.2019.120866","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85069596042&doi=10.1016%2fj.jhazmat.2019.120866&partnerID=40&md5=f807066b7d3b60cfe7459fe225415b4e",03043894,,JHMAD,Article,"Final",,Scopus,2-s2.0-85069596042
"Yu H., Lee K., Zhang X., Choo K.-H.","57204327334;55845961700;37054813800;7102083272;","In situ versus pre-quorum quenching of microbial signaling for enhanced biofouling control in membrane bioreactors",2019,"Journal of Membrane Science","592",, 117387,"","",,,"10.1016/j.memsci.2019.117387","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85070874074&doi=10.1016%2fj.memsci.2019.117387&partnerID=40&md5=3eeaafe6ef6dae478ae20f2798d370fd",03767388,,JMESD,Article,"Final",,Scopus,2-s2.0-85070874074
"Zhang X., Lee K., Yu H., Mameda N., Choo K.-H.","37054813800;55845961700;57204327334;57192214360;7102083272;","Photolytic quorum quenching: A new anti-biofouling strategy for membrane bioreactors",2019,"Chemical Engineering Journal","378",, 122235,"","",,,"10.1016/j.cej.2019.122235","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85069528231&doi=10.1016%2fj.cej.2019.122235&partnerID=40&md5=d682a32bb9de325c34c50114e79f8447",13858947,,CMEJA,Article,"Final",,Scopus,2-s2.0-85069528231
"Bhadra B.N., Jhung S.H.","56982844300;6701659467;","Oxidative desulfurization and denitrogenation of fuels using metal-organic framework-based/-derived catalysts",2019,"Applied Catalysis B: Environmental","259",, 118021,"","",,,"10.1016/j.apcatb.2019.118021","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85070505000&doi=10.1016%2fj.apcatb.2019.118021&partnerID=40&md5=a816479761291080391cc192ad996f1d",09263373,,ACBEE,Review,"Final",,Scopus,2-s2.0-85070505000
"Lee J., Won Y.-J., Choi D.-C., Lee S., Park P.-K., Choo K.-H., Oh H.-S., Lee C.-H.","55503061900;55502979200;39060964800;57118767300;57201965583;7102083272;8212183100;7410142508;","Micro-patterned membranes with enzymatic quorum quenching activity to control biofouling in an MBR for wastewater treatment",2019,"Journal of Membrane Science","592",, 117365,"","",,,"10.1016/j.memsci.2019.117365","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85070676044&doi=10.1016%2fj.memsci.2019.117365&partnerID=40&md5=1ad5cd030a4e1988b6c3345e851b9c0a",03767388,,JMESD,Article,"Final",,Scopus,2-s2.0-85070676044
"Cho M.S., Lee S.C., Chae H.J., Kwon Y.M., Kim H.J., Ryu M.Y., Lee J.B., Kim J.C.","55387395400;8524020100;57204090253;35764834700;57204287065;57204283434;36465406600;55985396900;","Optimum design and characteristics of potassium-based sorbents using SiO2 for post-combustion CO2 capture",2019,"Renewable Energy",,,,"107","115",,1,"10.1016/j.renene.2018.10.057","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85055092903&doi=10.1016%2fj.renene.2018.10.057&partnerID=40&md5=e078919c6ca2565121f1de3924b28197",09601481,,,Article,"Final",,Scopus,2-s2.0-85055092903
"Kwon Y.M., Lee S.C., Chae H.J., Cho M.S., Park Y.K., Seo H.M., Chang Kim J.","35764834700;8524020100;57204090253;55387395400;57203463102;55786302500;24282929000;","Regenerable sodium-based lithium silicate sorbents with a new mechanism for CO2 capture at high temperature",2019,"Renewable Energy",,,,"180","187",,1,"10.1016/j.renene.2018.08.039","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85054297365&doi=10.1016%2fj.renene.2018.08.039&partnerID=40&md5=a4a1aa5a609819adbf894aded3d175d3",09601481,,,Article,"Final",,Scopus,2-s2.0-85054297365
"Lee S.H., Lee S.-H., Lee J.H., Park J.-W., Kim J.-E.","57210829860;57210829718;36067819400;35574514000;57209054588;","IDH2 deficiency increases bone mass with reduced osteoclastogenesis by limiting RANKL expression in osteoblasts",2019,"Bone","129",, 115056,"","",,,"10.1016/j.bone.2019.115056","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85071641299&doi=10.1016%2fj.bone.2019.115056&partnerID=40&md5=e64b56c0f5f0788e19d1c06b073fed70",87563282,,BONED,Article,"Final",,Scopus,2-s2.0-85071641299
"Bhardwaj V., Anand T., Choi H.-J., Sahoo S.K.","57209296580;55391516300;7404339413;11639947600;","Sensing of Zn(II) and nitroaromatics using salicyclaldehyde conjugated lysozyme-stabilized fluorescent gold nanoclusters",2019,"Microchemical Journal","151",, 104227,"","",,,"10.1016/j.microc.2019.104227","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85071845837&doi=10.1016%2fj.microc.2019.104227&partnerID=40&md5=cb2f5c7a0b5a1ff116f5a3c0be6faea0",0026265X,,MICJA,Article,"Final",,Scopus,2-s2.0-85071845837
"Rho T.-B., Jo H.-B., Kim T.-W., Kim D.-H.","57210915530;57202871742;57203495132;57201849670;","A unified method to extract the effective mobility in InGaAs metal-insulator-semiconductor field-effect-transistors using scattering-parameters",2019,"Solid-State Electronics","162",, 107644,"","",,,"10.1016/j.sse.2019.107644","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85071836164&doi=10.1016%2fj.sse.2019.107644&partnerID=40&md5=d3f786c836e86c7ce80801ffa5009ef2",00381101,,SSELA,Article,"Final",,Scopus,2-s2.0-85071836164
