Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,ISSN,ISBN,CODEN,Document Type,Publication Stage,Access Type,Source,EID
"Badrinath N., Yoo S.Y.","56940682700;57074900100;","Mitochondria in cancer: In the aspects of tumorigenesis and targeted therapy",2018,"Carcinogenesis","39","12",,"1419","1430",,3,"10.1093/carcin/bgy148","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85059498600&doi=10.1093%2fcarcin%2fbgy148&partnerID=40&md5=5e1088b4742f8e8b1a75fcbc62c4ffd5",01433334,,CRNGD,Review,"Final",,Scopus,2-s2.0-85059498600
"Cho J., Hwang H., Park G., Lee C.","57188805200;56402401400;7403041976;55541610000;","Characteristics of energy harvesting in flywheel energy storage system based on efficiency map",2018,"Journal of Magnetics","23","4",,"517","522",,,"10.4283/JMAG.2018.23.4.517","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85062206985&doi=10.4283%2fJMAG.2018.23.4.517&partnerID=40&md5=d2c9c426fd1122824beb26c5dbeea833",12261750,,,Article,"Final",,Scopus,2-s2.0-85062206985
"Im S.H., Lee H.Y., Chung H.J., Park G.S.","56872385400;57190838292;55777745200;7403041976;","A study on the effective deperming protocol considering hysteresis characteristics in ferromagnetic material",2018,"Journal of Magnetics","23","4",,"680","688",,,"10.4283/JMAG.2018.23.4.680","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85062225994&doi=10.4283%2fJMAG.2018.23.4.680&partnerID=40&md5=ffcb06e94a7c74521e98b15fc7ad7dfc",12261750,,,Article,"Final",,Scopus,2-s2.0-85062225994
"Hwang J.Y., Kim S.T., Kwon J., Lee J., Chun Y.-O., Han J.S., Han H.-S.","55915174200;57203773181;56710862900;8577036400;57199409109;43262252200;7401969217;","Ultrasensitive Fluorescence Monitoring and in Vivo Live Imaging of Circulating Tumor Cell-Derived miRNAs Using Molecular Beacon System",2018,"ACS Sensors","3","12",,"2651","2659",,1,"10.1021/acssensors.8b01095","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85058077588&doi=10.1021%2facssensors.8b01095&partnerID=40&md5=05502db17e083d6510abf46d341dbe5f",23793694,,,Article,"Final",,Scopus,2-s2.0-85058077588
"Pu Z., Zhao M., Zhang Y., Sun W., Bao Y.","57191289117;57205141161;55654364100;57191885990;8293652600;","Dynamic Description of the Catalytic Cycle of Malate Enzyme: Stereoselective Recognition of Substrate, Chemical Reaction, and Ligand Release",2018,"Journal of Physical Chemistry B","122","51",,"12241","12250",,1,"10.1021/acs.jpcb.8b05135","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85058813808&doi=10.1021%2facs.jpcb.8b05135&partnerID=40&md5=e64c604e737a405861ea0a264e6a6a78",15206106,,JPCBF,Article,"Final",,Scopus,2-s2.0-85058813808
"Park J., Jeong T., Kim H., Moon H.S.","57022410500;55154958000;12754075800;7402662469;","Time-Energy Entangled Photon Pairs from Doppler-Broadened Atomic Ensemble via Collective Two-Photon Coherence",2018,"Physical Review Letters","121","26", 263601,"","",,1,"10.1103/PhysRevLett.121.263601","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85059239874&doi=10.1103%2fPhysRevLett.121.263601&partnerID=40&md5=00c4c1757c7134b143aa3d5bc30df1bc",00319007,,PRLTA,Article,"Final",,Scopus,2-s2.0-85059239874
"Kwon S.J., Jung B.M., Kim T., Byun J., Lee J., Lee S.B., Choi U.H.","57194344230;55846388600;55645851600;57195412299;55888626200;55645943200;36672657300;","Influence of Al 2 O 3 Nanowires on Ion Transport in Nanocomposite Solid Polymer Electrolytes",2018,"Macromolecules","51","24",,"10194","10201",,2,"10.1021/acs.macromol.8b01603","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85058537455&doi=10.1021%2facs.macromol.8b01603&partnerID=40&md5=29abe5e2226728685756e315bdf21d05",00249297,,MAMOB,Article,"Final",,Scopus,2-s2.0-85058537455
"Kim Y.-M., Lim Y., Kwak K., Hyun C.H., Lee C.-H.","57113969000;55774205900;15623038400;27172295000;36043044000;","Tidal deformability of neutron stars with realistic nuclear energy density functionals",2018,"Physical Review C","98","6", 065805,"","",,3,"10.1103/PhysRevC.98.065805","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85059379423&doi=10.1103%2fPhysRevC.98.065805&partnerID=40&md5=e34eb113c38cc41057c9bb3d7a44167b",24699985,,,Article,"Final",,Scopus,2-s2.0-85059379423
"Lee Y.-J., Namkung H., Park J.-H., Song G.-S., Park S.-J., Kim J.-G., Choi J.-W., Jeon C.-H., Choi Y.-C.","57199024006;37047590700;56012647400;57194711849;49964482300;55940788400;57202894941;7006894320;8162515600;","Production and characterization of hybrid coal using sugar impurities extracted from pitch pine",2018,"Applied Thermal Engineering","145",,,"174","183",,1,"10.1016/j.applthermaleng.2018.09.024","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85053413644&doi=10.1016%2fj.applthermaleng.2018.09.024&partnerID=40&md5=51257ee940e7a6530e03d12f10eb5c6f",13594311,,ATENF,Article,"Final",,Scopus,2-s2.0-85053413644
"Kwon T.W., Jang J., Ambrosia M.S., Ha M.Y.","56549469700;7402965468;55152383400;7005259095;","Molecular dynamics study on the hydrophobicity of a surface patterned with hierarchical nanotextures",2018,"Colloids and Surfaces A: Physicochemical and Engineering Aspects","559",,,"209","217",,1,"10.1016/j.colsurfa.2018.09.056","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85053836409&doi=10.1016%2fj.colsurfa.2018.09.056&partnerID=40&md5=03f14682fea9ec5f8d6347f17b75113e",09277757,,CPEAE,Article,"Final",,Scopus,2-s2.0-85053836409
